"Generation"	"mean.ne"	"l.95"	"u.95"	"pop"
"306"	6	16350.782	13386.8925	22300.5425	"LAE"
"307"	7	16676.104	13391.8375	22831.78	"LAE"
"308"	8	16840.187	13464.0325	22855.7775	"LAE"
"309"	9	22401.19	16379.9175	35706.2575	"LAE"
"310"	10	24650.351	17393.3475	38133.3025	"LAE"
"311"	11	26595.287	17840.09	39580.78	"LAE"
"312"	12	27850.588	18375.285	42226.31	"LAE"
"313"	13	32693.658	20926.9675	47879.615	"LAE"
"314"	14	35592.786	23425.89	51319.9275	"LAE"
"315"	15	37843.053	24983.285	53351.1925	"LAE"
"316"	16	39339.227	26722.2175	53463.5125	"LAE"
"317"	17	41743.113	27609.6475	54615.825	"LAE"
"318"	18	43742.291	28607.0275	56451.3475	"LAE"
"319"	19	45161.189	29944.575	57015.66	"LAE"
"320"	20	46145.226	30677.59	57444.39	"LAE"
"321"	21	47420.913	32335.11	57705.5825	"LAE"
"322"	22	48471.48	33170.2525	58861.1725	"LAE"
"323"	23	49132.562	33942.3525	59530.5975	"LAE"
"324"	24	49672.596	34634.0525	60022.335	"LAE"
"325"	25	50212.296	35029.7725	60743.445	"LAE"
"326"	26	50615.176	35332.3475	61106.675	"LAE"
"327"	27	50942.951	35540.0975	60597.695	"LAE"
"328"	28	51242.734	35696.4075	60290.1425	"LAE"
"329"	29	51522.002	35861.44	60510.4675	"LAE"
"330"	30	51823.126	36352.125	60890.1125	"LAE"
"331"	31	52009.365	37209.615	60571.3025	"LAE"
"332"	32	52204.972	37788.485	61531.975	"LAE"
"333"	33	52277.678	38515.2025	62210.9225	"LAE"
"334"	34	52276.417	39242.64	62978.625	"LAE"
"335"	35	52176.378	39167.7525	63228.6525	"LAE"
"336"	36	52053.857	40012.79	63008.6	"LAE"
"337"	37	51955.544	40461.9675	62432.63	"LAE"
"338"	38	51879.324	40332.0725	62223.6775	"LAE"
"339"	39	51820.2	40012.385	62186.435	"LAE"
"340"	40	51716.694	39763.7925	61662.83	"LAE"
"341"	41	51661.084	39770.3775	61018.4525	"LAE"
"342"	42	51601.652	39360.1725	61861.49	"LAE"
"343"	43	51534.278	38669.9225	62218.085	"LAE"
"344"	44	51425.891	38577.6925	61610.8	"LAE"
"345"	45	51278.356	38354.995	62062.1275	"LAE"
"346"	46	51034.721	38638.8675	62826.0875	"LAE"
"347"	47	50722.761	38438.8525	63041.94	"LAE"
"348"	48	50434.602	38213.68	63138.5625	"LAE"
"349"	49	50134.744	37716.44	62670.055	"LAE"
"350"	50	49942.539	37059.0475	62156.215	"LAE"
"351"	51	49801.573	36060.23	61768.28	"LAE"
"352"	52	49542.547	35258.61	61619.565	"LAE"
"353"	53	49311.754	34952.8975	61839.475	"LAE"
"354"	54	48948.528	34501.1675	61439.7725	"LAE"
"355"	55	48626.16	33919.2525	61972.9675	"LAE"
"356"	56	48357.999	34343.7625	62727.3025	"LAE"
"357"	57	48112.361	34148.465	61877.105	"LAE"
"358"	58	47963.832	34010.495	62904.695	"LAE"
"359"	59	47830.662	33796.8575	63525.3075	"LAE"
"360"	60	47778.58	33597.0875	64383.5849999999	"LAE"
"361"	61	47631.91	33680.965	64138.1599999999	"LAE"
"362"	62	47428.736	33816.8725	63564.51	"LAE"
"363"	63	47202.544	33708.325	62713.4925	"LAE"
"364"	64	46934.171	33272.8575	62234.64	"LAE"
"365"	65	46736.789	33236.545	61028.3825	"LAE"
"366"	66	46543.308	33046.5525	60950.695	"LAE"
"367"	67	46396.772	33456.655	60037.365	"LAE"
"368"	68	46235.605	33693.74	60150.3975	"LAE"
"369"	69	45930.179	33696.655	59998.0575	"LAE"
"370"	70	45710.683	33922.68	59997.3125	"LAE"
"371"	71	45555.049	33868.71	59568.9125	"LAE"
"372"	72	45433.889	33817.4925	58978.15	"LAE"
"373"	73	45258.337	33711.925	58735.785	"LAE"
"374"	74	45111.647	33471.24	58146.1625	"LAE"
"375"	75	45011.117	33200.1975	58220.0575	"LAE"
"376"	76	44882.558	32704.3375	57883.1975	"LAE"
"377"	77	44785.431	32564.9575	57633.7	"LAE"
"378"	78	44783.008	32834.08	57949.0325	"LAE"
"379"	79	44830.268	33145.1875	58441.1075	"LAE"
"380"	80	44788.117	33351.8125	58506.85	"LAE"
"381"	81	44717.881	33297.94	58942.195	"LAE"
"382"	82	44729.558	32886.23	58081.3725	"LAE"
"383"	83	44705.513	33137.1	57018.3125	"LAE"
"384"	84	44714.584	34262.78	56532.2675	"LAE"
"385"	85	44797.509	34416.1725	56563.945	"LAE"
"386"	86	44876.118	34582.68	56626.7275	"LAE"
"387"	87	44963.878	34614.705	57273.7325	"LAE"
"388"	88	45018.838	33701.525	57793.1375	"LAE"
"389"	89	45025.232	33564.6225	57817.6775	"LAE"
"390"	90	45104.248	34083.1225	57537.4625	"LAE"
"391"	91	45198.403	34639.5825	57314.625	"LAE"
"392"	92	45337.172	34998.15	57203.625	"LAE"
"393"	93	45500.041	35699.78	57079.8825	"LAE"
"394"	94	45711.178	35864.0475	57241.5425	"LAE"
"395"	95	45870.69	35560.3475	57278.1775	"LAE"
"396"	96	46163.7	35546.83	58830.04	"LAE"
"397"	97	46472.599	35101.8575	61392.9775	"LAE"
"398"	98	46778.267	35658.63	63211.21	"LAE"
"399"	99	46937.267	35303.1075	64508.1875	"LAE"
"400"	100	47175.237	35122.84	65511.21	"LAE"
